,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CostPerConv_Total,CostPerConv_Approved,CPM
3,708771,916,103920,30-34,0,20,693,0,0,1,0,0,0.00,0,0,0
6,708820,916,103929,30-34,0,29,1915,0,0,1,1,0,0.00,0,0,0
11,708979,916,103955,30-34,0,31,1224,0,0,1,0,0,0.00,0,0,0
12,709023,916,103962,30-34,0,7,735,0,0,1,0,0,0.00,0,0,0
13,709038,916,103965,30-34,0,16,5117,0,0,1,0,0,0.00,0,0,0
14,709040,916,103965,30-34,0,16,5120,0,0,1,0,0,0.00,0,0,0
16,709105,916,103976,30-34,0,28,1241,0,0,1,1,0,0.00,0,0,0
18,709124,916,103979,30-34,0,31,1024,0,0,1,1,0,0.00,0,0,0
21,709320,916,104012,35-39,0,15,1422,0,0,1,1,0,0.00,0,0,0
25,709328,916,104013,35-39,0,16,3332,0,0,1,1,0,0.00,0,0,0
26,709455,916,104034,35-39,0,7,559,0,0,1,0,0,0.00,0,0,0
30,709761,916,104085,40-44,0,16,2861,0,0,1,0,0,0.00,0,0,0
31,709899,916,104108,40-44,0,15,1398,0,0,1,1,0,0.00,0,0,0
36,710477,916,104205,30-34,1,16,2654,0,0,1,1,0,0.00,0,0,0
41,710628,916,104230,30-34,1,18,1473,0,0,1,0,0,0.00,0,0,0
42,710682,916,104239,30-34,1,27,1186,0,0,1,0,0,0.00,0,0,0
45,710867,916,104270,30-34,1,63,1185,0,0,1,0,0,0.00,0,0,0
52,711785,916,104423,45-49,1,19,292,0,0,1,0,0,0.00,0,0,0
54,712052,916,104467,45-49,1,10,1448,0,0,1,1,0,0.00,0,0,0
151,738637,936,109857,45-49,1,24,944,1,1.419999957,1,0,0.1059,1.42,1.42,1.419999957,1.5
441,950224,936,123464,40-44,0,20,2367,2,2.839999914,1,1,0.0845,1.42,2.84,2.84,1.2
506,951779,936,123723,45-49,1,27,3277,2,2.680000067,1,0,0.061,1.34,2.68,2.680000067,0.82
477,951202,936,123627,45-49,1,26,5307,3,4.289999962,2,1,0.0565,1.43,2.145,4.29,0.81
449,950537,936,123516,40-44,0,36,1884,1,1.409999967,1,0,0.0531,1.41,1.41,1.409999967,0.75
